ลำดับ,"วัน/เดือน/ปี 
ที่ติดต่อเข้ามา",ชื่อผู้สนใจ/ชื่อ Facebook,Line,Facebook,ปกติ,สมทบ,ทางไกล,ปริญญา,คณะ,สาขา,วุฒิที่ใช้สมัคร,ผ่อนตรง,กู้ กยศ,"เบอร์โทร
ให้ติดต่อกลับ","วัน/เดือน/ปี
ที่ให้โทร",ช่วงเวลาให้ติดต่อกลับ,หมายเหตุ,ชื่อแอดมินที่ดูแล,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,,,,
427,23/1/2025,Quaver Torka,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
428,23/1/2025,กิ่งณัฐ สุขสุข,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
429,23/1/2025,Risir Ponkit,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,ü,0801698943,ไม่่ต้องโทร,ช่่วงเย็น,,ต้นกล้า,ต้นโทร 13/3/2025 16.25 น. ไม่รับสาย,ต้นโทร 16/3/2025 17.08 น. ไม่รับสาย,ปุ้ยโทร 17/03/2025 ไม่รับสาย,ปุ้ยโทร 18/03/2025 ไม่ได้รับสาย,ต้้นโทร 22/3/2025 ไม่ได้รับสาย,ปุ้ยโทร 26/03/2025 ไม่ได้รับสาย,,,,
430,23/1/2025,Ulul'Nomon Wymel,,ü,,,ü,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
431,23/1/2025,ชัยฤดี อุ่นดี,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
432,23/1/2025,ธิดาจันทร์ ธิดาจันทร์ ธิดาจันทร์ ธิดาจันทร์,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
433,23/1/2025,Helra Vinmon Fawy,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
434,23/1/2025,Qualu Verna Nopim,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
435,23/1/2025,Noul Nubo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
436,23/1/2025,Luwy Lura,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
437,23/1/2025,ภัทรนุช จิตแก้ว.,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
438,23/1/2025,Melbo Melbo,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
439,23/1/2025,ฤดีพิม ภู่เดือน,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
440,23/1/2025,Nomel Rachai Darno,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
441,24/1/2025,Wanpe Tippim,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
442,24/1/2025,ฤดีอุ่น น้ำบุญ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
443,24/1/2025,พร้อมปรีดา วันทิพ,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
444,24/1/2025,ปรีดามณี ใบ้ขวัญ,,ü,,ü,,ตรี,นิติศาสตร์,นิติศาสตร์,กศน.เทียบเท่า ม.6,ü,,0624537246,ไม่สมัคร,18.00,อยากเรียนเฉพาะเสาร์อาทิตย์,ต้นกล้า,23/1/2025 ขอดูค่าใช้จ่ายก่อน,27/1/2025 ยังไม่ตัดสินใจ,6/2/2025 ขอปรึกษาครอบครัวก่อน,,,,,,,
445,24/1/2025,Kahel Tipan,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
446,24/1/2025,Ratom Lepon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
447,24/1/2025,Jodee Omdar,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
448,24/1/2025,ยิ่งดี สินวัน,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
449,24/1/2025,Chaiix Omjo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
450,24/1/2025,Pesir Heltip,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
451,24/1/2025,ภู่ฤดี วันภู่,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,,0918181574,17/04/2025,19.00,เคยสมัครไว้ปีที่แล้ว,ต้นกล้า,31/1/2025 ไม่ได้รับสาย,8/2/2025 ไม่รับสาย,10/2/2025 ยังไม่ตัดสินใจ,13/2/2025 ปิดเครื่อง,16/2/2025 ไม่ได้รับสาย,ปุ้ยโทร 18/03/2025 ขอปรึกษาครอบครัวก่อน,ต้นโทร 19/3/2025 16.30 น. สนใจเรียนภาคทางไกล,ต้นโทร 22/3/2025 สนใจเรียนภาคทางไกล,ปุ้ยโทร 31/03/2025 นัดโทรอีกครั้งสัปดาห์หน้า,
452,24/1/2025,พิมใบ้ ธิดาวิไล,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
453,24/1/2025,อัญกัญ ปิ่นอุ่น,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
454,24/1/2025,Ulfa Nulu,,ü,,,ü,โท,บริหารธุรกิจ,,,,ü,,,,,ต้นกล้า,,,,,,,,,,
455,24/1/2025,เพ็ญยิ่ง เพ็ญยิ่ง,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
456,24/1/2025,Kitchai Darle,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
457,24/1/2025,Ixpim Deedar,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
458,24/1/2025,ยิ่งนุช ทิพณัฐ,,ü,,,ü,ตรี,,,,,,0964540613,25/9/2026,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,ต้นกล้า,27/1/2025 ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
459,24/1/2025,นิ่มชื่น ปิ่นภู่,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
460,24/1/2025,Gunpe Nukit,,ü,,,,,,,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
461,24/1/2025,Deeul Peta,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
462,24/1/2025,Wanpim Melsir,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
463,24/1/2025,Ixhel Zenkit,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
464,24/1/2025,Verjo Sonchai,,ü,ü,,,ตรี,ศึกษาศาสตร์,เอกปฐมวัย,,,,0692224527,15/12/2025,13.00,สนใจกู้ กยศ.,ต้นกล้า,27/1/2025 ขอคิดดูก่อน,ต้นโทร 13/3/2025 13.57 น. ไม่ได้รับสาย,ต้นโทร 14/3/2025 13.43 น. ขอดูค่าใช้จ่ายก่อน,ต้นโทร 17/3/2025 13.18 น. ไม่ได้รับสาย,ปุ้้ยโทร 24/03/2025 ยังไม่ตัดสินใจ,,,,,
465,24/1/2025,Leom Piman,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
466,24/1/2025,อัญพร้อม นุชปั้น,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
467,24/1/2025,จิตภูมิ ใบ้สุข,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
468,24/1/2025,Verom Helnu,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,,,,,ต้นกล้า,,,,,,,,,,
469,24/1/2025,ธิดายิ่ง รุ่งกุล,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,ü,,0614425537,10/02/2026,13.00,,ต้นกล้า,27/1/2025 สนใจเรียนภาคทางไกล,ต้นโทร 13/3/2025 13.41 น. ยังไม่ตัดสินใจ,ต้นโทร 14/3/2025 13.56 น. ไม่รับสาย,ต้นโทร 17/3/2025 13.14 น. ไม่รับสาย,ปุ้้ยโทร 22/03/2025 ปิดเครื่อง,ปุ้ยโทร 23/03/2025 สนใจสมัคร รอเงินเดือนออก,,,,
470,24/1/2025,Helya Ompim,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
471,24/1/2025,แก้วธิดา จันทร์ปั้น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
472,24/1/2025,Zenom Deewan,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
473,24/1/2025,Deepim Bope,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
474,24/1/2025,Sano Omrat,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
475,25/1/2025,Ulrat Kagun,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,ü,0661560987,,16.00,สะดวกคุยทางไลน์มากกว่า,ต้นกล้า,27/1/2025 ขอปรึกษาครอบครัวก่อน,31/1/2025 ขอปรึกษาครอบครัวก่อน,8/2/2025 ไม่รับสาย,ปุ้ยโทร 18/03/2025 นัดโทรอีกครั้งสัปดาห์หน้า,ปุ้ยโทร 01/04/2025 ปิดเครื่อง,,,,,
476,25/1/2025,เดือนบุญ ใบ้พิม,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
477,25/1/2025,สุขอุ่น ณัฐวัน,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
478,25/1/2025,Monan^ Meldar'pequa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
479,25/1/2025,Monna Torqua,,ü,,,ü,ตรี,นิติศาสตร์,นิติศาสตร์,ปริญญาตรี,,,,,,,ต้นกล้า,,,,,,,,,,
480,25/1/2025,Nono CHAIRI'torbo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
481,25/1/2025,Saka Zenta,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
482,25/1/2025,Torra Anmon,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
483,25/1/2025,Tipsir Saya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
484,25/1/2025,Quapim Gunchai-deeta,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,ü,,0966301005,ไม่ต้องโทร,9.00-10.00หรือช่วงเย็น,ถามเรื่องค่าเทอมและการผ่อน,ต้นกล้า,8/2/2025 ขอปรึกษาครอบครัวก่อน,13/2/2025 ปิดเครื่อง,16/2/2025 ไม่ได้รับสาย,ปุ้ยโทร 18/03/2025 ไม่ได้รับสาย,ปุ้ยโทร 19/03/2025 ปิดเครื่อง,ปุ้ยโทร 26/03/2025 ไม่ได้รับสาย,,,,
485,25/1/2025,Ratqua Ratra,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
486,25/1/2025,Risir,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
487,25/1/2025,นุชอุ่น นุชอุ่น ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
488,25/1/2025,Pimom Bojo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
489,25/1/2025,สุขบุญ ใบ้กุล,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
490,25/1/2025,Ludee Darvin,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
491,25/1/2025,Riom Pimfa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
492,25/1/2025,Helsir Omwan,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
493,25/1/2025,บุญภัทร ปิ่นธัญ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
494,25/1/2025,Yason Leno,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
495,25/1/2025,Darpim Luhel,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
496,25/1/2025,Ratver Notip,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
497,25/1/2025,Yajo Yajo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
498,25/1/2025,Wanmon Kitsa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
499,25/1/2025,รุ่งณัฐ ปั้นณัฐ,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
500,25/1/2025,ขวัญฤดี ปรีดาชื่น ยิ่งกิ่ง,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,,,,,,ปุ้ย,,,,,,,,,,
501,25/1/2025,Zenvin Torvin,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,ü,,0620510177,ไม่่ต้องโทร,15.00-16.00,,ปุ้ย,27/1/2025 ไม่รับสาย,8/2/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 19/03/2025 ขอปรึกษาครอบครัวก่อน,,,,,,,
502,25/1/2025,Kakit Wansa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,,,,,ปุ้ย,,,,,,,,,,
503,25/1/2025,Bori Helfa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,,,,สนใจกู้ กยศ.,ปุ้ย,,,,,,,,,,
,,,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,,,,,ปุ้ย,,,,,,,,,,
504,25/1/2025,จิตภูมิ ใบ้สุข,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
505,25/1/2025,Kitna Zenri,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
506,25/1/2025,Nuqua Wyle,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
507,25/1/2025,กิ่งเดือน ชื่นมณี,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
508,25/1/2025,Helna Ulsir,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
509,25/1/2025,ฟ้้ากัญ ปั้นภู่ วิไลเพ็ญ,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
510,25/1/2025,ดีีอัญ อุ่นภู่,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
511,25/1/2025,Tipmon Tipmon,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
512,25/1/2025,Ponom Sanu,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
513,25/1/2025,ยิ่งธิดา มั่นใบ้,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,,,,,,,,ปุ้ย,,,,,,,,,,
514,25/1/2025,ภัทรวิไล รุ่งจิต,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
515,25/1/2025,ต้นเดือน นุชต้น,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
516,25/1/2025,แก้้วฤดี รักแก้ว,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ปุ้ย,,,,,,,,,,
517,25/1/2025,Bona Tipzen,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
518,25/1/2025,รักน้ำ สินศิริ วันขวัญ วันต้น,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
519,25/1/2025,รักธัญ ภัทรรัก,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,,,,,,ปุ้ย,,,,,,,,,,
520,25/1/2025,Kahel Tipan,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
521,26/1/2025,Torsa Taix,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
522,26/1/2025,Nabo Chaison,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
523,26/1/2025,Quafa Yamel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,,,,,,,,ต้นกล้า,,,,,,,,,,
524,26/1/2025,Darzen Darver,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
525,26/1/2025,สินชัย ยิ่งปรีดา,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
526,26/1/2025,Rapim Ralu Melson,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
527,26/1/2025,ภู่พิม ปั้นศิริ,,ü,,,ü,โท,บริหารธุรกิจ,,,,,,,,,ต้นกล้า,,,,,,,,,,
528,26/1/2025,Vinsa Monle,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0830443352,,10.00,,ต้นกล้า,8/2/2025 ขอดูค่าใช้จ่ายก่อน,13/2/2025 ขอปรึกษาครอบครัวก่อน,ต้นโทร 13/3/2025 12.00 น. ยังไม่ตัดสินใจ,ต้นโทร 17/3/2025 12.57 น. สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,
529,26/1/2025,Sajo Leri,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
530,26/1/2025,Ultor Lumel Uldee,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
531,26/1/2025,Ponta Zenbo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
532,26/1/2025,ณัฐพิม วันฤดี,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
533,26/1/2025,Wysir Lemel,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,ü,,0806728916,ไม่ต้้องโทร,11.00,แอดไลน์กลับมาเรียบร้อยแล้ว,ต้นกล้า,8/2/2025 ขอปรึกษาครอบครัวก่อน,13/02/2025 ขอคิดดูก่อน,16/2/2025 ไม่ได้รับสาย,ปุ้ยโทร 21/03/2025 ยังไม่ตัดสินใจ,,,,,,
